0;"A look so quick
A movement so slight
You could almost imagine
It didn’t just happen
But everything’ll change
In just one look, one little glance
It’s not passin’ fascination now
It’s obsession
Uh huh, it’s obsession
It’s obsession
Uh huh, it’s obsession
It’s obsession
And it’s physical
It’s like standing at the edge
Your blood starts to pump
‘Cause you’re worried you might jump
And your head throbbing like a heart
Heart throbbing like a drum
Drums throbbing like the xxxxx
Just go ahead and jump
It’s obsession
Uh huh, it’s obsession
It’s obsession
Uh huh, it’s obsession
It’s obsession
A look so quick
A movement so slight
Ah, it’s not passin’ fascination now
It’s obsession
Uh huh, it’s obsession
It’s obsession
Uh huh, it’s obsession
It’s obsession";;
0;GENIAL!;;
0;Click on my link pls_;;
0;Kids in the chat who don't like the Prince album _;;
0;sponsored by Dunder Mifflin;;
-1;too much math for my brain to handle;;
1;Waoh!;;
1;This was iconic seeing this live;;
1;another master piece;;
0;Mikiko-sensei sugoi !!;;
1;"anyone else ""OBSESSED"" with this video?";;
-1;about wasted paper, yes;;
0;OKGOO;;
0;"Anyone playing Animal Crossing? I need more friends :(
ID: 78294909878";;
0;People nowadays never appreciate the unbelievable hard work that comes to this kind of art if they see the smallest thing that rubs them the wrong way. Every Ok  Go video is made with such an effort and desire of opening people's minds to creativity and technology. Yes, it's a lot of paper. They recicled it. Nobody knows what they used to print the colored paper so it is best to not speculate and complain.Stop winning and enjoy the video.;;
0;Their most unrealistic video yet. Printers never work.;;
0;http://imgchili.net/show/114245/114245276_042f3bb77y.jpg;;
0;"""- Good Morning, Its printing support?
-Yes sir, my name is Daniel . How can i help you?
-ok Daniel, i have a little problem with my printers, i have paper jams and print quality issues...
- its not a problem, we are here to help, so can you tell me the serial number of that printers? How many are?
- emm... there is a little problem...
- What's the problem sir?
- You saw the clip OK GO - Obsession..?
- This isn't the support printing, this is a chinese restaurante, bye! (Call ends)""";;
1;That depth effect blew my mindhole.;;
-1;This song kinda sucks;;
1;True artists, bravo;;
-1;Hmmm Ive gotta say, I've seen their other videos and this one's....well....mediocre. The paper is cool, but I don't find the song particularity good, and actually the paper gets a bit boring after a while. Ik people are gonna be saying, how can you hate on something that required so much work,  but I mean have you seen their other videos? They're amazing, and comparing this to previous works this one I think it is extremely mediocre. DONT GET ME WRONG THOUGH, ITS STILL COOL;;
0;Bryan McCormick true. The only reason I consider this mediocre is because of the amazing other videos they've made in showcasing all the things they're capable of.;;
1;This is so fucking awesome;;
0;Kinda sucks this was all for an ad otherwise cool video!!;;
0;"1 DROP OF PRINTER INK COSTS MORE THAN A DROP OF THE FINEST WINE.
As cool as this video is, the fact that it's sponsored by a printer company should tell you a lot.";;
0;"It should tell you that they didn’t pay for it themselves?
I’m sorry I don’t see your point";;
1;Never fails to impress;;
0;Niger;;
1;These guys never lost their touch. Every project is as good as the next;;
1;Incredible, as always... I love it. So much !!!;;
0;Interlochen;;
0;Recycling paper is the worse for the environment. Compared to making new paper from sustainable sources it costs more money, uses more energy thus more greenhouse gas plus the extra chemical waste.;;
0;Whoop guys sorry I forgot to turn the camera on. We need a reshoot;;
0;Paper cuts.;;
-1;only if the song was any good, people only watch this for the clip, even tho it gets boring after a minute of paper;;
0;"What do ya'll think of this:
https://youtu.be/10PnwzMGx00";;
-1;omg Music sucks today lol!!;;
0;Tendency in bolivia;;
-1;they killed too many trees.;;
0;is it just me, or does this song/video have a Peter Gabriel vibe to it?;;
1;Amazing as always!!!!;;
-1;Ok with mv, not ok with their music. So bad..;;
0;garbage to feed the zombie appetite out there...;;
0;Its painful seeing the paper getting printed out. But good song and vid;;
-1;horrible music and a waste of paper;;
1;This is so amazing I can’t stop listening to it;;
1;Dam... moste creative band... ever!;;
0;2:58 = LGBTPedophiles.;;
0;Is this a commercial for printers, paper, or ink?;;
1;Paper...I knew it, pretty good still.;;
-1;You suck and Greenpeace sucks, and i couldn't care less how much you recycle.;;
-1;If only their music was an good as their video concepts;;
0;I’m so glad I clicked this L *ink*;;
-1;I'm offended of how many trees had to be killed at the altar of these capitalist scum. #RememberTheTrees;;
0;Devin Hamby All the paper was recycled.;;
0;_______MV______;;
0;Must be CGI cause I can’t get my printer to print a shipping label!;;
0;Lol prob not your best and I know they are recycled but still #feelsbadman about those paper xD;;
-1;If only I had this motivation and persistence towards my life, man...;;
0;Erick Saraiva You can, at any moment.;;
1;Cool music video;;
0;Just stop and thINK how they made this video?;;
1;You guys are just the fucking best.;;
1;that really is obsession!;;
0;How long did this take?????;;
-1;Epileptic seizure overload;;
0;Should've gotten your paper from Dunder Mifflin;;
1;"I've watched this about 23 times, you could say
its obsession";;
0;It's not passive fascination now, Its AGGRESSIVE FASCINATION!;;
0;Ok go is a terrible band but their music videos are lit.;;
0;That's good paper too;;
1;Just I say, amazing!!!!;;
0;That was a lot of paper.;;
1;Will they ever stop making  THE BEST VIDEOS IN HISTORY?!?!?! Hope not;;
0;http://MoneyMyLife.com/?refcode=27074;;
-1;no effence but you guys are not that good;;
1;ok go is always serving the best fuckin videos and the best music.. ik a bunch of people are saying they arent here for the music but i am- ill always love ok go.;;
1;"its not about the music or the visuals, its about the ""cant believe the effort involved"" factor imo";;
0;troppo coatti  questi ok go.......gooooo;;
1;They’re the freakin coolest;;
1;How do you even begin to work out the timing for something like this? I'm gobsmacked.;;
1;I guess the programmers were the geniuses here. Upside Down Inside Out vid took alot of skill on the bands part. All their vids are AMAZING though.;;
0;CIRO GOMES APPROVES;;
0;___ __ _______? _______ ____);;
0;Free Xbox One X http://fixwork.online/?id=23932;;
0;I ran out of toilet paper. Can I have one paper to wipe?;;
-1;Was thar real paper?if so, why the fuck did you waist that much of paper?;;
0;Hey so Im raising $300 toward my trip to antigua! Every little bit helps, please share and support! Also my friends suck so im going to the people of Facebook! Thanks so much for the support and laughing reactions lmao! https://www.gofundme.com/all-i-want-for-christmas-is-anu?pc=em_co_shareflow_m&rcid=r01-151163626849-55730b50175f4cda;;
0;https://www.youtube.com/watch?v=ywt9W0XTm5c&sns=em a$ap new video drop!!;;
0;You all know obsession has been out for a couple months right?;;
1;These guys can do all this while it takes me 3 hours to write one sentence in an essay;;
0;greenpeace, greenscreen, greenception.;;
1;I really like this song :);;
0;"Damien:So we have this idea for a new music video..
Producer:*sweating nervously* How many will you need?
Damien: All of them.";;
1;I always look forward to them releasing videos they’re always so visual;;
1;amazing!;;
0;My question is HOW??? I cant even make my printer print a single sheet without breaking!!!;;
0;"beginning: just like a ton of printers printing pixel art doodles.
end: holy shit, fucking 3D stop motion";;
-1;People complaining about paper are really putting they efforts in the wrong place, this much paper gets used everyday in a single big school, much of which isn’t recycled. The money raised will far outweigh the paper and ink impact.;;
-1;Needs more cowbell!;;
0;huhhh;;
1;Not the type of music I'd listen to but you gotta give an applause for the video, on a side note who the heck are these guys? Never heard of them before but I'm gonna see if I can find more;;
1;you should. imo, while this video is still really goddamn cool, others they’ve made are way cooler.;;
0;Printer jam.;;
0;Sempre dei geni e questa volta anche la musica merita;;
0;bruh i can't even get one printer to work without taking 20 minutes, the fuck kinda robocop-ass printers are these?;;
0;Alucinante OMG;;
-1;the end of the trees in the world;;
1;Whoa _;;
1;Wow, I can’t wait for the Net Neutrality rules to be repealed so I can’t afford to watch videos like this!;;
1;YOU’RE BACK;;
-1;I swear there's one guy on the trending page team that loves alternative music and puts shit like this paramore, greenday, and blink 182 on the trending page and to them I have great respect;;
1;Beyond incredible!!;;
0;http://jobzipo.com/account.php;;
0;I feel bad for who ever had to program those printers to do that _;;
-1;What a waste of paper, the song is not even any good;;
0;Good Video, Bad Music.;;
-1;KIDS IN AFRICA COULD'VE EATEN THOSE PAPERS ....WHAT A WASTE SMH;;
-1;What the FUCK did I just watch?;;
-1;the song and the music is SHEET;;
0;Please support my video YouTube! https://youtu.be/WcXjXiVsvoY;;
-1;".....fell asleep......... what happened ?
Oh, ...... nothing.
Back to Gojira __";;
0;I will sub to anyone who subs to me;;
1;my dad (57 years) admire your work so much;;
0;http://JobZipo.com/?refer=44165;;
1;At least they recycled all that paper. :);;
0;__________________________;;
0;"Very nice but ""I Won't Let You Down"" was better.";;
0;How the fuck;;
1;HOOOOOLY  i don't blinked '=';;
1;This song is literally life and so is the video, so y'all need to start appreciating real art. _;;
1;Ok go is basically an ad company but at least there the best ad company;;
0;"Zander Thurston 
This has been their original song since 2014, they just got sponsored by the paper company to help fund this video.";;
1;These guys should win the MTV Video Vanguard award. NOBODY makes videos as creatively as OK GO.;;
-1;James Simon Unfortunately their music super sucks...I don’t necessarily think they should be winning awards just because of their videos.;;
0;I would’ve gone with some good ol’ Dunder Mifflin paper for this video.;;
1;Genius as always;;
1;their videos are always sooo creative!!!;;
0;meu deus, quanta árvore morta!;;
-1;No! Not fucking Greenpeace! They used to care about the environment, but then they turned in a bunch of fucking retards- trying to ban things like useful every-day chemicals such as Chlorine. They are scientifically illiterate money grabbers like PETA these days, don't given them a penny.;;
0;I like Ok Go as much as the next guy, but they just got to release a new album or an actually new single. We don't need another single from your 3 year old album;;
0;People listen to OK GO?;;
1;you can always count on them;;
1;its true,   they wont let you down.;;
0;His hand signs spells obsession on 1:41 I'm pretty sure!;;
0;Espero que todo ese papel se recicle.;;
0;how did they make 2d look 3d. Ive been experimenting with a way to make 2d look 3d so you can make 3d html5 games in 2d canvas. If I could figure out how they did this that would be amazing. this is very impressive. I know at the beginning it is done in real time but are all of the animations and 3d effects done with paper. I know its at least aided by the printers but if everything is done with the printers than that is astounding.;;
1;kings of music videos;;
1;Editing From The Gods!;;
1;One of the very few music bands without VEVO shit attached and without fake paid views counting to millions which every other dumb VEVO music channel has.;;
0;Subscribe To The Basement Buds! We make Hilarious Videos! https://www.youtube.com/channel/UCJnJo6V9qzmR6FfWaDt5HRg/featured?disable_polymer=1;;
0;.... MOAR COW BELL!!!;;
0;One tree died in the making of this video.;;
-1;I CAN NOT WATCH THIS. It makes you feel like you are having  a EPILEPTIC SEIZURE. no thank you.;;
-1;needs more practice;;
0;JUST ONE QUESTION.... HOWWWWWWWWWW;;
1;Amazing as always! You guys never, ever disappoint! Keep 'em coming! I'm gonna go watch this 10 more times now...;;
-1;Needs more cowbell;;
1;*WELL AT LEAST IT S BETTER THAN THAT BTS ASIAN FAGGOTY SHIT*;;
-1;That song is terrible;;
-1;Song is so trash __;;
0;____________________;;
0;I'm high again;;
0;Save the Trees ___;;
1;INSANE ______;;
1;I like how they didn't try to cover the fact they where using harnesses;;
-1;A shoot and a miss, my least favorite OK Go video by far. Guess I'm glad they tried though.;;
-1;I know they re cycled paper thats just a waist of ink;;
0;it's obsession;;
0;"http://YouthJobz.com/?refer=28444yy
Earn easy money!!";;
1;You fantastic weirdos.;;
0;Reminds me a bit of Hollerado's Americanarama video;;
-1;i get the idea was to make it legit, but cmon, it would have been SO much easier to just make all the paper green and use computers.;;
0;Look, cow bell;;
-1;"Greenpeace is Terrorist 
#Trump2020";;
1;just discovered theses guys and this is pretty awesome! Check my reaction on it;;
0;Please use auto tune.;;
0;Dwight just made a huge order.;;
0;"I Really REALLY Don'twant to be that guy, I'm sorry, but 1:08 to 1:15, mettaton
_Gets ready fro the 'your fandom is trash' comments_";;
-1;boring as fuck;;
0;"Earn Money from Internet daily. $200/500 Weekly Join us! 
http://YouthJobz.com/?refer=42613";;
0;Children in Africa could have eaten that paper.;;
0;learn from the cord;;
0;Too bad they donated that money to green peace.  Way to recycle though.;;
-1;shit;;
1;That is an insanely high resolution display... :p;;
0;https://discord.gg/q4ttff3;;
1;I've heard better music from them, but I still love them. Good job guys :);;
1;"*HOW*
also
Y E S";;
0;#_ _ ___ __ Give OPEZDAL;;
0;"A really cool video set to an otherwise mediocre song we'd shrug our shoulders at.
Yep that's OK Go.";;
0;Do u see _hr_m_ on 3:05 in slow mode and on 1:30 on dimian kulash's jacket exactly at the left corner?;;
0;I came here bc of Ratliff _;;
1;Stop motion on point _;;
0;"*photography teacher* “make a stop motion video”
*me* ok go watch OK Obsession on Youtube, I made that";;
0;anyone else catch that asl fingerspelling of “its obsession” at 1:42;;
1;yes;;
1;nice my idol!;;
0;"This is “music” yeah sure
_";;
0;It is tho.;;
0;Wow that's a lot of paper;;
0;Am I the only one biting my nails and stressing hoping that they did recycle that paper because I've heard some national geographic stuff and I don't want to die because of the lack of trees?;;
0;Chill CHI;;
0;_____.;;
0;Who really cares how much ink and paper they used on this? Think of all the companies in the world and how much they waste, this is minute in comparison.;;
0;Why greenpeace???;;
0;Let’s make it happen YouTube! https://youtu.be/mO3GTC4wvfo;;
-1;Recycling or not, this kind of wasteful behavior of obsession is disgusting and irresponsible... SAD;;
0;I’m asian;;
0;mmmmmm waste of paper.... the music? is ok. next;;
-1;Waste or resources;;
0;These videos always trip me the fuck out;;
0;Maaaan how many times did they have to change ink cartridges for that video??? Hell, one pack alone costs $50;;
0;i assume they got a bulk discount or were sponsored;;
0;What type of printers are those?;;
0;1:30 guys look at the damian kulash's jacket, exactly at the right corner, do u see this chroma??;;
1;Nice job;;
0;Every single music video they outside themselves wowza;;
1;This band has the best music videos;;
0;Belen Morales ummm no, but okay.;;
0;WTF IS HAPPENING;;
-1;meh song;;
0;Click on link to make money quick!!;;
-1;my viewing experience will not be significantly betterifthevideoqualityis at 1440p or 2160p because the video sticks alot.;;
0;Great video, shitty song;;
0;It looks like green screen tbh;;
-1;I wonder how many trees they wasted to make this video . . . .;;
0;Good vid bad music;;
0;OMG;;
0;Damn;;
1;Ok Go song? I'm ready;;
0;"Only 5 left! Amazing deal! Black Friday & Cyber Monday special: %50 OFF | Christmas Family Pajamas Set
Buy Now: http://bit.ly/2i3dNJk";;
1;*incredible*;;
0;I was just thinking about this band and what they were gonna do next;;
0;To get the full experience watch this while drunk... You won't regret it_;;
1;This music video is fucking amazing;;
1;Wow;;
-1;The printer thing is cool but a weird song..... Nah not my style;;
0;________ __ ___________;;
1;I don't care how much homework I have, the moment I see an OK Go video, I drop everything and jump into the new crazy music video they have.;;
0;HAVE THEY COME OUT OF THE CLOSET YET;;
-1;RIP forest;;
0;papel ta acabando.....;;
1;Oddly satisfying;;
1;"this guys are crazy
incredible";;
-1;I just hope they fucking recycled all that wasted paper, smh thumbs down;;
0;Alexis B They did. It said right in the beginning;;
0;https://stream.radio.co/s6567aedc4/listen djdarbyradio live stream 247;;
0;Wtf;;
0;ok so it was just a commertial;;
0;Just think of how much the printers are doh;;
0;_______;;
0;If you like pizza go and subscribe to my channel;;
-1;Recycling is a waste of energy.  Watch Penn and Teller Bullshit.;;
0;"Watch the video backwards; you won't regret it.";;
0;https://www.youtube.com/watch?v=4v_43jREP1o;;
1;Bravo guys!!!!!!!!! Great!!!!!!!!;;
0;"Wtf is this and why is it tending
Not gonna lie the video is dope tho";;
1;No one has better music videos than OK Go;;
0;I hope that paper was cleaned up and used properly;;
1;The only band i don’t care about the music but love to watch clip;;
0;"Thank u for watched my video 
Girls of Vine Compilation  https://www.youtube.com/watch?v=L6XqBXKGLDw&t=6s";;
-1;You're killing TREES;;
1;So good!;;
1;Brilliant! They clips always brilliant, love it :3;;
-1;another dipshit gimmick video;;
-1;This shit is fucking Gay.;;
0;L;;
0;"_________________________
__________________________
__________________________
__________________________
__________________________
___________________________ 
___________________________
____________________________ The invasion has begun......
____________________________
____________________________
_____________________________Copy/Paste this on every video you see.
____________________________
____________________________
___________________________   The Doge army must defeat YouTube!
___________________________
__________________________
________________________";;
0;https://www.youtube.com/watch?v=wP4llXDP2Lw&feature=youtu.be;;
1;What a good use of paper :);;
0;Im a copier technician id hate to be the guy that had to hook up all those printers xD;;
1;Great vid!!;;
0;"A look so quick
A movement so slight
You could almost imagine
It didn’t just happen
But everything’ll change
In just one look, one little glance
It’s not passin’ fascination now
It’s obsession
Uh huh, it’s obsession
It’s obsession
Uh huh, it’s obsession
It’s obsession
And it’s physical
It’s like standing at the edge
Your blood starts to pump
‘Cause you’re worried you might jump
And your head throbbing like a heart
Heart throbbing like a drum
Drums throbbing like the xxxxx
Just go ahead and jump
It’s obsession
Uh huh, it’s obsession
It’s obsession
Uh huh, it’s obsession
It’s obsession
A look so quick
A movement so slight
Ah, it’s not passin’ fascination now
It’s obsession
Uh huh, it’s obsession
It’s obsession
Uh huh, it’s obsession
It’s obsession";;
0;"Peter Gabriel says ""HELLO! """;;
-1;"I usually really like OK Go's videos but for this one I couldn't stop thinking ""SO MUCH WASTE!!""
All that paper may have been recycled, it is still wasted and it ruined the video for me (recyling paper isn't re-using 100% of it and it costs energy! not to mention the ink...). You can do better guys!";;
1;Give these guys a fucking Oscar already;;
0;2:40 When you think it's over . . .;;
0;How did you find printers so reliable?!!;;
1;Incredible!!!! So amazing and awesome video <3 <3 <3 <3;;
0;That has to be witchcraft to get that many printers to cooperate;;
0;agreed. my printer at work has to be rebooted at least 5 times a day because of a jam or internal error.;;
1;That was insaneeeeeee loved it;;
0;SHOW ME YOUR ASSHOLE!!!  (this comment should get this video demonitzed according to YouTube) Enjoy!;;
0;"so this was all a fucking paper commercial?
Figures. I'll take it.";;
1;"great song
but i can't lie
the voices are just like ''UUUGH''";;
0;CUANTOS ARBOLES TUVIERON QUE MORIRI PARA HACER ESE VIDEO CLIP?;;
0;Very early Peter Gabriel _ still, being a fan of Bill Hicks, and his philosophy, this routine of relying on advertising backing leaves me ambivalent.;;
0;Great video. To bad the song is fucking terrible;;
-1;seem like most modern music is fucking terrible.. in this case it was 100% effort put into an engineering premise, 0% into inspiring melody...   most other songs  they exploit twerkin babe lewdness angle.. we're all fucked.;;
0;That catch at 2:42 lol;;
0;everyone's talking about how much paper they had to use, but think of how damn expensive it was to buy all those printers and ink!!;;
0;OK Go have it made, they can actually afford to print in color.;;
0;"pensacola florida 
Sweet Puff Smoke Shop Vape
Oct 23, 2017
Company Description
Oct 23 - Oct 22
Licensed and Insured, family Owned, ""We Offer the Lowest Prices"".";;
-1;The music was garbage, the video was meh;;
0;*Go Go*;;
0;Colored inc is expensive AF so the video might cost as much to make as it brings in.;;
1;They are awesome!!;;
0;https://youtu.be/nLzQMoE3yK0;;
0;Eta gente son el final :o;;
0;"_____                                          _____                                          _____                                      
*Jesucristo es el único Dios verdadero!*
*El único Dios que se levantó de entre los muertos y vive para siempre.*
*Jesucristo es el único calificado para darnos la vida eterna.*
*También sanar sus cuerpos.*";;
1;I love this because I work in digital print! But I'm just curious how they got the print to cover the entire piece of paper? I'm thinking they printed the sheets on larger paper and cut them down and loaded each printer with the correct sequence they would be used. That's also why the sheets can come out so quickly. But also how are they controlling the printer to know when to let go or hold on to the paper? There's just so much that is impressive in this video! Great work team!;;
0;it was at that moment the lone teardrop fell from thousands of trees;;
0;but printed side is always down is it not?;;
1;Okay Go is truly amazing! Their creativity and talent always keeps me amazed!;;
0;I wonder how much toner was used;;
0;Did they do that physically or cgi;;
1;This is awesome! We only want to upload great tracks like these from up-and-coming artists! We want to start taking submissions from up-and-coming artists from around the world. We Sound Strange;;
0;C.;;
0;Who are these guys?;;
0;They should spend as much time on their actual music as they do their videos.;;
-1;R. I. P. trees :'(;;
-1;poor trees___;;
0;How many takes ?;;
0;https://www.youtube.com/watch?v=ypmddyafRb4&feature=share;;
0;http://MyFixEarning.com/?refer=45687 help a student out;;
0;http://salarydaily.com/?cash=44549;;
0;I watche d this because it's on the trending list with bts;;
0;Fucking finally, a song in the trending tab that isn't rap with overused beats;;
0;Ammazza che fissa.;;
1;"Really cool video.  Reminded me a little of ""Everybody Wang Chung Tonight"" - not that that's a bad thing.";;
0;http://lifejobset.com/?sharethis=31221 Click the link !!!!!!!!!!!!!!!!!!!!!!!!!;;
1;Increible video, impresionante. #OKGo;;
0;We used to watch these videos in elementary school;;
1;I love how the singing is so minimal;;
0;Anyone have the printer's brand ?;;
0;Oufthor Canon IP7250 i think, Canon IP Series for sure;;
0;Haters gonna hate;;
0;This video reminds me of some 80s music video like sledgehammer;;
-1;R.i.p tree's. A moment of silence for the tree's sacrificed in this wonderful video.;;
0;Niggers have the lowest average IQ of all races and they are becoming the racial majority in the U.S., so now China will become the most powerful nation in the world and the U.S. will be all fucked up like Nigeria.;;
1;"You guys are awesome...what a composition.
And for those concerned about ink wastage and tree wastage....please look towards creativity too, passion too, composition and hardswork.
Papers can be recycled....it not going to be weste for sure.
Enjoyed a lot :-)";;
0;Shwagg Krumb if they didn't have the sponsorship to fund the video, it wouldn't exist. It amazes me how many people are so appalled that it's an ad.;;
-1;NEEDS MORE COW BELL!!!;;
0;Just fake it, it'll be cheaper;;
0;"1:42 
Let me guess...Sign language must say ""its obsession"" too, right?";;
1;i see some vampire weekend a punk inspirations... like it. love this entire thing.;;
0;he signed it's obsession in asl omg;;
1;OK GO... You guys always have the coolest music videos. _;;
0;10/10 my computer crashed after not being able to handle the resolution.;;
0;A feww high res screens would do the same and the cost would be lesser, in nature and on power comsumption.;;
1;wow;;
1;My fav music video of the year without a doubt !! <3;;
0;a moment of silence for  the fallen rainforest to make this video;;
1;Music video kings are baaaaack. _;;
0;OK, where the making of video?;;
0;fuck;;
1;Great work guys !!! Its always great to listen and view any of your  creations;;
0;It'd be so much more awesome if I actually liked their music;;
0;people actually still like this? I thought people just liked the treadmill video lmao;;
0;This is amazing!! Also what word is being spelled in sign at 1:40? It's moving too fast for me to read (I'm not fluent in ASL);;
1;They are always amaze me wooohhhoooo;;
-1;This song is awful;;
0;How many trees use for this video OMG;;
0;B;;
0;"Ok that we saw ur music video, just go
Ok.go";;
0;I wonder how many takes it took them for this;;
0;anyone know what printers they used?;;
1;You guys are brilliant.;;
0;These guys are koalafied for the job...;;
1;:3 Love It! <3;;
0;Cool music video but this song is awful. Just downright awful.;;
0;____ _____ ___ ______ ______. Thank you from Belarus.;;
0;What the fuck did I just watch;;
0;http://salarydaily.com/?cash=116698 earn $$ now! It really works!;;
0;Uninspired lyrics with standard music, other than that good video.;;
0;___ __ __??;;
0;http://MoneyMyLife.com/?refcode=17477;;
0;Not sure if someone else mentioned it as I'm not going to read/skim the comments but I got a R.E.M. vibe from this song;;
0;fun fact their are text on each paper they printed!;;
1;nice Hp commercial;;
0;"Saving yourselves being popular, save paper for recycling....
That’s like multi tasking _ _";;
1;"IM OBSESSED WITH THIS VIDEOOOOOOOOOO
btw my pc almost crashed cuz the fast movements";;
0;If only I could make a funny paper pun to get likes, shame.;;
0;Okgo can get 567 printer to do 1000s of print and no mater what printer I get I get about 10 before my printer kicks the bucket;;
0;Wtf!!!!;;
-1;Eh, nothing tops The One Moment in my opinion;;
-1;What a waste of paper and I see the strings;;
0;How do they not have 10 mil subs;;
0;__ ___________ ____ _ ____________, ____ _____ ________ ___ _____, _____ ___ ____ _______!-> https://youtu.be/pPJopb-mdtc;;
0;If you want to make the easiest $15 of your life then register!! NO BS. If you want to make way more than that just tell other people! http://JobZipo.com/?refer=4872;;
0;Dope! Ima Freestyle Rapper that caught the attention from some of the biggest names in the business. Check it out sometime;;
0;Seems like the perfect video for Dunder Mifflin;;
1;Wonderful!!!  But... what kind of printers are those????  I need to get a new one and that seems to be an excellent product plug to go with the paper plug.;;
0;Thinkyouknowmusic on Twitter brought me here.;;
1;That's cool!;;
0;everyone saying printer ink, it was just colored paper most likely;;
0;Should OK GO be known as an own genre in music and music video?;;
0;Fake.  The bottom row by the printers would have piled up, yet they stayed completely flat.;;
0;Or they cut it like you can see at some points and clean up...? Unless you are watching in 1fps you can clearly see how the video was made.;;
0;Sub to me and I will sub back to you!;;
0;WTF;;
1;michele soldarelli WTF by OK Go is a good song.;;
0;This is art but the number is not really my taste;;
0;I’m tripping out is this what being drugged out feels like?_;;
-1;This is terrible;;
0;Why is everyone ganging up on this guy? He said fucking three words and everybody's taking it like they just personally offended their mother. I mean sure, not everyone shares the same opinions, but should someone be criticized for their views on a topic just because it isn't the same as the majority of other people's? No, that's just messed up, and I get that other people disagree but there's always going to be someone that doesn't see the same as you do. It's all a matter of perspective. And for all anyone knows, they were talking about the camerawork or the color scheme or just don't like the amount of paper that was used for a three minute video. There are any number of reasons someone could find a video to be terrible and they shouldn't be penalized for expressing so. Well, I've put my two cents in so I'm just thanking whoever stopped and actually read this full comment. I should really stop writing such long winded speeches;;
0;"The style & vibe of this mv, For a minute there I thought I was back in the 80s.
Like the color paper effect at the end..";;
0;Imagine how much time went into this... And ink...;;
0;"___ *Ic_h su_h_ _in_n wohlh_b_nd_n M_nn*
___ *I für di_ kurzen _r_ff_n* . 
___ *__in_ n_u_n Fot_s sind hier*
___ GreshamHeuman98.tumblr.com/mUdds53QNx
___ *I__h su_h_ _inen P__rtn_r für S__* . 
___ *M_in_ _r_tis_hen F_tos hi_r*
___ GreshamHeuman98.tumblr.com/mUdds53QNx
___ *S_hreib mir* !
Trailer de La Tumba de Sargeras Parche 7 2 ES
ENAKU tesosola myaka KU ABS TV part A
Balaban price o novom odbornickom klubu su izmisljene
Nackt im Bett Viola Erika Kattia sagen Bye Bye Bachelor
HOW TO BOTTLE FLIP ONTO HUGE BRIDGE How Ridiculous";;
0;I hope that paper was Recycled...;;
0;Song isnt even good im just here for the video lol;;
0;I just liked that background the rest suckwd;;
1;"I'm now ""obsessed"" with this video";;
0;"thumbs up for ""secret"" ASL message noticed :D";;
0;2:46 I dont know why but those sheets coming out at the same time got me chills;;
0;PERO LA PUTA MADRE QUE BUEN VIDEOCLIP!!!;;
1;creative videos and great band. this truly amazing;;
-1;Awful;;
0;The Lorax will be pissed haha;;
0;"Trailer out Hollywood Official trailers clips  Round official trailers
'Smallfoot' Official Teaser Trailer 2018 Channing Tatum, Zendaya
https://www.youtube.com/watch?v=lJLaoWnGv4M";;
0;How many papercuts did they get?;;
0;When is the behind the scene ?;;
0;This reminded me of mystery guitar man. Does anyone remember him;;
0;___ ___ ____ ____ ____ __ ___ ____.;;
0;how could this be possible;;
1;These guys are amazing... i love them.;;
1;Im happy OK GO is in trending. I love all their songs and get high with them since it has a happy vibe.;;
1;Amazing !!;;
-1;Shitty music for shitty people;;
0;Those are the fasted fucking printers ive ever witnessed;;
1;Damnnn creative;;
0;*Presented by Epson*;;
-1;This is gayer than the fat Jews fingering little boys buttholes in Hollywood;;
0;How many trees did they kill;;
0;1:43 what is he doing?;;
1;That’s some really cool cgi;;
0;Si eso es papel lo desperdiciaron;;
0;"Eddy Hernan Gomez Vidal entonces todo en la vida sería un gasto, como esos centavos que usaste para tomar el metro e ir a casa. Entonces cada video musical sería un desperdicio, porque tienen que preparar sets, editar el video, preparar la iluminación.
Si es un desperdicio de papel, lo demás también lo es según tu lógica.";;
0;2:43 and here you see the wild Damien giving up on trying to catch pieces of paper...;;
0;If you look really close there is always that one pesky piece of paper!;;
0;In every video you guys make, you guys have the uncanny ability to take what we all are familiar with (here, printers) and warping our sense of knowledge into a whole new dimension! Love it!;;
1;liiiiiiiit!!!!!!!!!;;
0;New challenge,  check out my channel https://youtu.be/rg2XQtiT_Ek;;
1;a BTS remix video has 15M views and this has 3.1M... let that sink in for a moment... This deserves way more praise honestly.;;
0;Why did you have to bring BTS into this? The music genres are entirely different and nothing about the MVs are similar. People have different tastes in music and one just happens to be more popular. If you took the time and watched BTS' MV then you would have seen the dedication that went into it.;;
0;"*WARNING TO ALL COMMENT GOERS*
85% of the comments contain extremely 
large amounts of triggered people, whether at the music,
the waste of paper, or whatever it may be. Spare
yourselves by just watching the video
and not adding to the garbage below";;
0;HOLY ****_____;;
1;"Heaved a huge sigh at the end because I had been holding my breath and didn't realize it.
Dan and Andy on the toms. Tim and Damian on the little snyths. totes adorbs.
That Damian has the best pitch— jebus. The live singing was just... splendid.";;
1;Cool idea;;
0;"Anybody from Africa like my comment. 
Then maybe follow me?";;
0;_ _ _______ ______________ ___________...;;
0;_______ _______ _____ ____ __ ______ __ ___ ________ ______, ________ __ __ _____ ___ ____.;;
0;when u spend the entire U.S. debt in ink for this video;;
1;Wow;;
1;First impression: werid in an awesome way;;
