URL:  https://www.youtube.com/watch?v=wYQcU5VXde8,
,
1,wow i just heard about this guy. easily the most insecure douche i have ever seen on youtube. he clearly has some mental issues and needs to be evaluated. give this guy the help he needs asap!,
-1,How can he do this? Japanese are trying to be respectful to Lo gan but Logan does not care WTF,
-1,Prick,
-1,I think all the weeds are crying,
0,Lmao Americans in the comment section are acting like he just nuked japan a third time,
-1,How many people want to kill him now?,
-1,This is actually extremely disgusting hes treating it like its his fucking playground.
-1,He's such an ignorant twat,
-1,Another one? How could it happen? Like seriously,
1,ok i admit i did laugh when they threw the ball at the cop,
0,"Logan: ""Mucho Brokeno""",
-1,"Japanese guy: ""I outta slap yo white ass""",
-1,This guy makes me want to have a concussion! When did humanity fail? This guy is an April fools joke LITERALLY! His birthday is April 1st!
0,One Pearl Harbour was not enough.,
0,Let me get my chancla (spanish for flip flop),
-1,Stupidity disrespect and everything nor nice. These were the ingredients chosen to create the perfect little assholes. But professor Utonium accidentally added and extra ingredient to the concoction chemical X AND THE DIPSHIT BROTHERS WERE BORN,
0,Maricn culiao me enoje viendo esta wea gringo Ql chupalo,
-1,Satan : please don't come to hell,
1,This is why i respect japan much more than america in every way,
-1,Obviously not real but wtf,
-1,Thats definitely unrespectful,
-1,This guy represents why no one respects white people anymore.,
0,w,
-1,I'm Japanese and will definitely not forgive him,
1,Although I like the US and American people,
1,I hope someday racial discrimination will disappear from the world,
0,If he's doing this in Russia he'll have One Million Year ticket to Gulag.
-1,Why does this thing exist? Why is this a thing even allowed to roam freely? It must be removed from society. Honestly what the fuck is wrong with the next generation...
0,I'm japanese half and I live in Japan but to be honest this guy is a weird people ever that I met.
-1,white people need to learn some manners,
-1,Bro as much as I would of wanted to beat him up if I saw him do those disrespectful  things(he'd probably  whoop my weak as anyways. I guarantee  it!) I wouldn't because I would also be disrespecting  The Japanese  culture.,
-1,Such an asshole. His brother too.,
0,Is this the video that got deleted?,
-1,A Vinh if only... Logan was actually breaking laws in the country in his still-remaining Japan vlogs,but does YouTube care? Nope
0,Why is he like this?,
0,Now do this in the hood boy,
-1,wth is wrong with this guy... this is why we Asians are not a fan of white people... mostly teenage white dudes,...
-1,I like anime but fuck japan and japanese people and anyone who admires that shithole nation.,
1,Noice,
1,Heys says respect so his actions are justified in his own self centered way.,
0,No words,
0,I wish he had bumped into some yakuza dudes,
-1,Oh my gosh. Logan Paul needs to be fucking nice. Like screw him. He thinks he is better? PLEASE he is not,
