title,company,company_url,tags,date_posted,salary,job_url
"Lead Software Engineer, Capital One Shopping (Remote)",Capital One,https://www.devjobsscanner.com/company/capital one,"['lead', 'startup', 'build', 'javascript', 'python', 'typescript']",1 week ago,Not mentioned,https://www.dice.com/apply-redirect?eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby91akVEUUxiIiwiam9iSWQiOiI1ZjEzM2ExZS05YzYzLTQzOTgtYmZiZS01ZDZhNjQ1MGZjMTIiLCJqb2JUaXRsZSI6IkxlYWQgU29mdHdhcmUgRW5naW5lZXIsIENhcGl0YWwgT25lIFNob3BwaW5nIChSZW1vdGUpIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Sr. Software Engineer - C++ Go Python - Remote,Comcast Corporation,https://www.devjobsscanner.com/company/comcast corporation,"['video', 'data', 'design', 'build', 'c++', 'go', 'python']",1 week ago,Not mentioned,https://www.dice.com/apply-redirect?eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9jcnFBNFViIiwiam9iSWQiOiJhZmVjNTk5Yy0yZmE2LTQxMmYtYWExOC1kMTE2ZGExNTMxYTQiLCJqb2JUaXRsZSI6IlNyLiBTb2Z0d2FyZSBFbmdpbmVlciAtIEMrKyBHbyBQeXRob24gLSBSZW1vdGUiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Sr. Software Engineer - C++ Go Python - Remote,Comcast Corporation,https://www.devjobsscanner.com/company/comcast corporation,"['video', 'data', 'design', 'build', 'c++', 'go', 'python']",1 week ago,Not mentioned,https://www.dice.com/apply-redirect?eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9aWktRYmtiIiwiam9iSWQiOiI4YjVjMWZmYi0xMzgyLTQ0MDYtYmM3Yy00M2YwMjM1MmFhNmYiLCJqb2JUaXRsZSI6IlNyLiBTb2Z0d2FyZSBFbmdpbmVlciAtIEMrKyBHbyBQeXRob24gLSBSZW1vdGUiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Sr. Software Engineer - C++ Go Python - Remote,Comcast Corporation,https://www.devjobsscanner.com/company/comcast corporation,"['video', 'data', 'design', 'build', 'c++', 'go', 'python']",1 week ago,Not mentioned,https://www.dice.com/apply-redirect?eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9GUEhQV09iIiwiam9iSWQiOiJlOWViMzY2Ni04MDdhLTRiNGYtODc3NS02NWFiOWEwODBlMzYiLCJqb2JUaXRsZSI6IlNyLiBTb2Z0d2FyZSBFbmdpbmVlciAtIEMrKyBHbyBQeXRob24gLSBSZW1vdGUiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Sr. Software Engineer - C++ Go Python - Remote,Comcast Corporation,https://www.devjobsscanner.com/company/comcast corporation,"['video', 'data', 'design', 'build', 'c++', 'go', 'python']",1 week ago,Not mentioned,https://www.dice.com/apply-redirect?eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9GeFd4YUZiIiwiam9iSWQiOiJkZjBlNzE5Yy1iMTE5LTQ1NjctYjE0Ni0wOTY2NDI2MzMyZDkiLCJqb2JUaXRsZSI6IlNyLiBTb2Z0d2FyZSBFbmdpbmVlciAtIEMrKyBHbyBQeXRob24gLSBSZW1vdGUiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Sr. Software Engineer - C++ Go Python - Remote,Comcast Corporation,https://www.devjobsscanner.com/company/comcast corporation,"['video', 'data', 'design', 'build', 'c++', 'go', 'python']",1 week ago,Not mentioned,https://www.dice.com/apply-redirect?eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9VdktKb09iIiwiam9iSWQiOiJmMzhlNDg0ZC00ZTAwLTQ2YmEtYmRjYS0xMjM4YzM2Y2ViMDAiLCJqb2JUaXRsZSI6IlNyLiBTb2Z0d2FyZSBFbmdpbmVlciAtIEMrKyBHbyBQeXRob24gLSBSZW1vdGUiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Senior ServiceNow Custom App Developer DHS (Remote),ICF,https://www.devjobsscanner.com/company/icf,"['Support', 'ITIL', 'JavaScript', 'Security', 'ServiceNow']",1 week ago,$85K-144K,https://devitjobs.us/jobs/ICF-Senior-ServiceNow-Custom-App-Developer-DHS-Remote?utm_source=devjobsscanner
Senior ServiceNow ITBM and SPM Developer,ICF,https://www.devjobsscanner.com/company/icf,"['CMS', 'HTML5', 'ITIL', 'JSON', 'JavaScript', 'REST', 'SOAP', 'Security', 'ServiceNow', 'jQuery', 'UX UI Design']",1 week ago,$83K-141K,https://devitjobs.us/jobs/ICF-Senior-ServiceNow-ITBM-and-SPM-Developer?utm_source=devjobsscanner
Full Stack Engineer FTE,Linkitall LLC,https://www.devjobsscanner.com/company/linkitall llc,"['AWS', 'C#', 'Cloud', 'CSS', 'JavaScript', 'MySQL', 'PostgreSQL', 'Python', 'React', 'Ruby', 'Security', 'Serverless', 'Web', 'ASP.NET']",1 week ago,$100K-120K,https://devitjobs.us/jobs/Linkitall-LLC-Full-Stack-Engineer-FTE?utm_source=devjobsscanner
NestJS Developer,"Business Performance Systems, LLC","https://www.devjobsscanner.com/company/business performance systems, llc","['Architect', 'Backend', 'CSS', 'GitHub', 'HTTP', 'JSON', 'NestJS', 'RPA', 'React', 'Selenium', 'TypeScript', 'Web', 'XML', 'DDD']",1 week ago,$104K-166K,https://devitjobs.us/jobs/Business-Performance-Systems-LLC-NestJS-Developer?utm_source=devjobsscanner
